Doctor Name,Negative_Reviews,Positive_Reviews,No_of_Negative_Reviews,No_of_Positive_Reviews,Specialty,Gender,No. of Reviews
Dr. Anthony Molinari,,"My parents were patients of Dr. Molinari for many years. Mother use to bake cookies for him. He called on her at home during her final days. They were very pleased with him. He always took his time. He cared. Highly recommend.. Very knowledgeable & wonderful communication skills... Wonderful doctor!!! I have a few problems with my joints and he literally sat with with me for an hour discussing the possibilities and helped me reach a solution, best doctor I've ever had! Plus he has wonderful ""bed side manner"". Dr. Molinari takes the time to listen to me, that means alot to me. Not one to push pills, but recommends the benefit of good nutrition, and exercise. He doesn't rush you, a big plus in my book! Dr. Molinari has taken great care of me and my husband for the last 15 years. He is very knowledgeable and caring. If you don't have a lot of money, he will help find low cost meds or give you samples. He has always listened to all my concerns and answered my questions completely. When I needed a specialist, he gave me a good recommendation. The only downside is that I generally waited 30 mins to an hour after my appointment time. He has a large client base in our community. It should be getting better since he added another doctor to his practice. Overall, a Great Doctor! The office seems more interested in your payment than the patient. The doctor does not call patients with their lab results when he receives them. You have to wait until your next visit. Prescription refils cost $90- you must make an appt to get the new script. Even on blood pressure medicine that you have been taking for years. It seems to be all about the money. The doctor is very knowledgeable, but rarely are you seen at your appt time. Usually at least 30 minutes late. His time is more important that yours. During my visit I felt that I was treated very well.I would absolutely recommend this doctor to my family and friends.I felt this visit was an amazing success!Overall I would rate this visit : outstanding!",,7,Internist / Geriatrician, Male,7
Dr. Aram Bonni,I just had surgery in March 2020. Wasn't given any discharge papers and the doctor won't respond to me neither will his staff. I was told that I was getting a quarter-size incision and it is two if not three times that size. I am having trouble with sensation of my intestines and bladder and he's just brushing off this issue. Don't go to this doctor Under investigation with medical state board. Then fired from previous hospitals that he has worked at. Dr Bonni will lie and do surgery on you that you don't even need. Money hungry insurance fraud. Dr Bonnie did surgery on me. Because of this I got very sick and almost died. I have had many surgery to repair his mistake.,"Dr.Bonni preformed a Tubal Ligation Reversal on me Jan 2016. I am very happy with his professionalism and patient care. I would highly reccomend Dr.Bonni. Dr Bonni did my tubal reversal in June of 2015. He is amazing. I was pregnant with twin boys within a month he is brilliant. I appreciate his hard work and time he spent with me answering my questions. Thank you Dr Bonni I had surgery with Dr Bonni a few years ago and it was one of the biggest mistakes of my life. I have not been able to have intercourse with my husband ever since. When I expressed my concerns to him he arrogantly blew me off and said ""no you're going to like this"". What a jerk! I should have known there was some problem when he suddenly and mysteriously left a previous office. After the surgery he apparently had no office and had me meet him at random offices, including a chiropractor, for rechecks. It felt very weird and unprofessional. All I can say is that if anyone is considering having surgery with him I would recommend running the other way. I am not normally a complainer, I am usually happy with with every dr and surgery I've had in my life, but I just hope I can save someone from going through what I have had to go through. He has caused great harm to my health and my marriage. Thank You, Dr. Bonni for making me not feel self-conscious. I felt very comfortable with the doctor and the nurses.",4,5,Gynecologist (OBGYN), Male,9
Dr. Arash Kiarash,"Went to see this Doctor 3 or 4 times and it was fine for awhile. However, if my appointment was at 2:00pm I wont get seen until 2:30-45. He is a really nice guy and relatively helpful but waiting that long is rough when you have to leave work for an appointment. The worst has been since he moved to the other side of the office. He has some new woman working there who thinks she's the best thing ever and her attitude is absolutely terrible. Last time I was there I saw her decorating the office with these ridiculous items that you would expect to see anywhere but a Dr.'s office. She treated me like garbage at the check out and it is 99% because of her that I am finding another Dr. He should think about firing her and hiring someone else before she drives his entire practice off a cliff. She has never come into a room with me so she must be some sort of manager, this is a horrible person to have in such a position purely from a business aspect. Went to see this Doctor 3 or 4 times and it was fine for awhile. However, if my appointment was at 2:00pm I wont get seen until 2:30-45. He is a really nice guy and relatively helpful but waiting that long is rough when you have to leave work for an appointment. The worst has been since he moved to the other side of the office. He has some new woman working there who thinks she's the best thing ever and her attitude is absolutely terrible. Last time I was there I saw her decorating the office with these ridiculous items that you would expect to see anywhere but a Dr.'s office. She treated me like garbage at the check out and it is 99% because of her that I am finding another Dr. He should think about firing her and hiring someone else before she drives his entire practice off a cliff. She has never come into a room with me so she must be some sort of manager, this is a horrible person to have in such a position purely from a business aspect.",,2,,Internist / Geriatrician, Male,1
Dr. Asad M. Cheema,"He is very knowledgable, listens to you and your problems and discusses it with you in detail.",,1,,Cardiologist, Male,1
Dr. Ban Mechael,"The staff was very rude and unknowledgable - I never understood how and why the staff was ""allowed"" to write prescriptions. Be prepared to wait for a long time before you are seen - I went to get a check up during my lunch hour and ended up waiting for almost 2.5 hours! Her hours are very unreasonable too. In other words, she is only available 9-2pm during the summer week days, never available in the evening hours which causes a true inconvenience. Furthermore, stereotypes of my cultural background were portrayed in a very ""boxy"" frame of reference. What I was thoroughly upset with was her staff of nurses - specifically, Tiffany. She was not pleasant, nor was she friendly when it came to regular routine visits at the clinic. I will be sure to inform others to avoid Dr. Ban's internal medicine office. The staff was very rude and unknowledgable - I never understood how and why the staff was ""allowed"" to write prescriptions. Be prepared to wait for a long time before you are seen - I went to get a check up during my lunch hour and ended up waiting for almost 2.5 hours! Her hours are very unreasonable too. In other words, she is only available 9-2pm during the summer week days, never available in the evening hours which causes a true inconvenience. Furthermore, stereotypes of my cultural background were portrayed in a very ""boxy"" frame of reference. What I was thoroughly upset with was her staff of nurses - specifically, Tiffany. She was not pleasant, nor was she friendly when it came to regular routine visits at the clinic. I will be sure to inform others to avoid Dr. Ban's internal medicine office.",,2,,Internist / Geriatrician, Female,1
Dr. Barry P. SIEGEL,,Excellent doctor. Very caring and considerate. Always friendly and professional. He is the best I have ever had.,,1,Optometrist, Male,1
Dr. Bassel Altantawi,,"God fearing. Human and know how! He is one of the best. Thorough and knowledgable ,provided greet help whenever I needed medical care God fearing. Human and know how! He is one of the best. Thorough and knowledgable ,provided greet help whenever I needed medical care",,4,Internist / Geriatrician, Male,3
Dr. Benjamin H. Ticho,"This doctor was not very caring, impossible to get ahold of. Dr. Ticho is a skilled strabismus surgeon. The downside: His practice is very busy, which sometimes leaves little time for questions/concerns.","Perfect appointment from start to finish, very caring doctor and staff. I definitely would not recommend this doctor or office to others. He saw my son's eyes and straightened them out. Thanks Docter Ticho! Dr. Ticho has seen my 14 year old son for 11 years and my 6 year old daughter for 3 years. He is a caring doctor who explains things very well to the parent. I have been very happy with him as my children's eye doctor. Great with kids -- excellent explanations; we learned more in our appointment than I had in several visits to the last doctor",2,5,Ophthalmologist, Male,7
Dr. Bernard E. Lakemaker,,Very convenient. The practice has 2 wonderful women who run the office and are always helpful for whatever is needed. The Dr is a straight shooter with any questions. I really liked Dr Lakemaker. He was very thorough and made me feel very comfortable.,,2,Family Doctor / G.P., Male,2
Dr. Bhanoo Sharma,WASTE OF $1600. I paid Dr. Sharma for botox and there was no change. I asked him to correct it and he requested more money. I decline that he suggested a surgery for more money. I decline that and ask for a refund since there was no changes he quickly left. Later on that day I called to say this wasn't right and his staff became rude and unprofessional. If you pay that kind of money for something you want to see some kind of results but nothing change at all.,"I just had my thighs and mid section liposuctioned. His team was great and they could not have done a better job. I also had a fat transfer done and I am rocking my bikini. Thank you Dr. Sharma. You and your staff are the best! I just had my breast augmentation with Dr. Bhanoo Sharma. I had gone to many consultations in Chicago with other surgeons where I felt like a number. Dr. Sharma put me at ease and I loved his staff. The anesthesiologist was also great. I woke up pain free and with breasts for the first time. I highly recommend Dr. Sharma and Shape Cosmetic Surgery for breast implants. Good luck ladies on your journey. Truly cares about his patients! Takes the time to answer questions or concerns! Staff was so helpful and reassuring was there thru my surgery and recovery!! It was the best experience I could have asked for! My husband and I went to see Dr.Sharma for a consultation and we can both undoubtedly say it was the best decision that we made.I had gained nearly 60 pounds over the last year do to stress and felt completely defeated, I didnt even know where to start on getting back to my real self!I decided to have nearly my entire body treated and I am SO glad I did! I have already lost over 30 pounds but everyone tells me I look like I have lost over 50 pounds! Dr. Sharma is AMAZING he is the most talented surgeon ever! He listened to what I wanted and he more than delivered! I am more motivated then I have even been, I work out 2 hours a day and eat better then I ever have. People ask me all the time if i am happy and I say happy in an understatement,I cannot even put into words words how Dr. Sharma and his staff changed my life. My husband is extremely happy with his results and I am so happy that we were able to both share this experience, this has brought us closer then ever! I cannot begin to express how impressed I am with the breast augmentation, liposuction, and the COCO butt that you have given me.I am so glad I chose you to do the work.Even though this is only my second day post surgery, I am already VERY pleased with the results. Thank you for giving me the self confidence and self esteem that I was lacking for so many years. Both you and your staff were supportive throughout the journey. It still amazes me the length you will go out of your way for your patients.My new breasts, and butt are beautiful and I am completely content with the results. Dr. Sharma thank you again for everything. I feel like a brand new woman because of you. I cannot thank you enough for your quality of care, professionalism, and concern that was demonstrated by all of the staff.Dr. Sharma I cannot say enough about your skill and talent. Amazing! Your skill and ability is incredible! Anyone reading this, I highly recommend Dr. Bhanoo Sharma, he will not disappoint you.",1,5,"Plastic / Cosmetic Surgeon, Physician", Male,6
Dr. Blaise J. Wolfrum,"No longer licensed to practice medicine in Illinois. This guy was the worst medical experience I ever had he'd keep me waiting over an hour for my scheduled appointment without remorse I am a stroke survivor and when I finally got in to see him he didn't remember why I was there or thT I had had a stroke -------------------------------------------------------------- I've been his patient on and off for many years and he has helped get through every crisis with flying colors. STAY FAR FAR AWAY. ONLY WANTS YOUR MONEY. ARROGANT AND RUDE. YOU WILL BE WAITING MORE THAN AN HOUR FOR YOUR APPT. UNDER INVESTIGATION..ALSO SUSAN ORCO APN..TO TESTIFY........ SEE REVIEW FOR DES PLAINES OFFICE/NEED I SAY MORE!!!! Arrogant and dismissive. Spent 7 minutes with me (that includes the phone call he took) Bedside manner should be BADside manner. I have had one experience with BHCA in which I was attempting to deal with severe depression and thoughts of suicide. After mustering the courage to seek help and spilling my guts about inner fears and issues Dr. Blaise Wolfrum replied with disdain and condescension. His flippant comments and lack of concern is truly troubling for a person supposedly in the profession of helping people in need. His first comment ""why are you depressed when others have it worse than you"" was a stinging slap across the face and set the tone for the rest of the time with him. When I described my plans for suicide he ridiculed me. This man's attitude and and condemnation might motivate someone training for a race but has no place in the treatment of people who are in need of support and guidance. I would not recommend this organization to anyone looking for compassion or a caring attitude. This doctor was late for every appoitment that I had. I don't mean five minutes, say about one half hour. Then he sneak in the back door. His staff is horrible. They practically barked at me to pay upfront before I even saw the doctor. I paid $360 because I was desperate for someone to talk to. I ended up waiting over 1.5 hours past my appointment and all I got was a 20-25 minute session which wasn't very helpful. He prescribed me some medication and that was it. Then a month later I tried to get another prescription and he wanted $50 just to write me the prescription. I would not advise seeing this man. This doctor and his office ripped off my insurance company. Besides being completely unfriendly and rude and having an extremely long wait; this Doctor was completely cold and unfeeling. They charged me up front AND took my insurance information - when I cancelled my appointment with them (ahead of time) I noticed that they STILL charged my insurance even though I had pain in cash up front and not actually kept the apppointment. Stay away from this guy! This Dr. does not care about his patients at all!! All he does care about is MONEY. On a typical day patients wait 2hours past thier appt. time just to see him, and god forbid if you ask his staff, a bunch of RUDE Morans!!!!!!","I feel extremely lucky to have Dr Wolfram for a psychiatrist! I've been a patient of Dr. Wolfrum since the 90s and he has helped get through many-a-crisis as well as day to day stressful situations. Once in a while I have to wait more than 30 minutes, but it's well worth it. Dr.Wolfrum has been the most educated, kind, and most trustworthy to my case. I am very happy with Dr. Wolfrum and would recommend him in a heartbeat to anybody. What has me very upset right now is the extreme difficulty I had getting to the point where I could rate this doctor. RateMDs.com needs to make their site much more user friendly. I was seeing Dr. Wolfrum mainly for anger management. He has helped me a lot. If this had happened several years ago, I probably would have slammed my monitor against the wall and yelled obscenities toward RateMDs at the top of my lungs. Thank you Dr. Wolfrum for teaching me enough self control where that didn't happen. I've been seeing Dr. Wolfrum because I had poor social skills. I was very quiet and shy and totally lacked any self confidence when trying to interact with people. Thanks to the good doctor, I've come a long way. I'm now dating a beautiful and wonderful lady and have a great job which involves dealing with people on a social level. I can never thank Dr. Wolfrum enough for the way he has helped me turn my life around. I've been a patient of Dr. Wolfrum for many years. The good always outweighed the bad but things weren't always perfect. The office staff were sometimes rude and the wait was sometimes very long. However, that was the past. The current staff is friendly and accommodating and the wait times are now very reasonable. Dr. Wolfrum has always been an excellent psychiatrist so I give him my highest recommendation. I like Dr. Wolfrum so far. He's been helping me greatly with my confidence and self esteem. With continued visits I'm sure my life overall will become much better.",13,7,Psychiatrist, Male,20
